MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	483.93555	s	9/20/2023 16:35:55
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.61592758	24.609152	0.82288134	12.211914
0.61893165	24.631447	0.83170283	12.261719
0.62093735	24.639688	0.83959466	12.311523
0.6234616	24.61459	0.84823024	12.361328
0.62514842	24.635502	0.8576504	12.411133
0.6283313	24.578875	0.86695009	12.460938
0.63078701	24.563103	0.87589222	12.510742
0.63407421	24.591766	0.88515329	12.560547
0.63738227	24.58255	0.893695	12.610352
0.63877702	24.582346	0.90209526	12.660156
0.64135194	24.623352	0.91061115	12.709961
0.6442368	24.597197	0.91857839	12.759766
0.64617991	24.609812	0.9272812	12.80957
0.64929128	24.612709	0.9357388	12.859375
0.65041482	24.583885	0.94391352	12.90918
0.65358579	24.605917	0.95147675	12.958984
0.65478683	24.580969	0.95944238	13.008789
0.65882504	24.635096	0.96790159	13.058594
0.66049397	24.608969	0.97618949	13.108398
0.66385567	24.643169	0.98469239	13.158203
0.66656768	24.633671	0.99239552	13.208008
0.66870153	24.632	1.001189	13.257813
0.67077875	24.568552	1.0090426	13.307617
0.67296028	24.56167	1.017068	13.357422
0.67599714	24.526043	1.0256561	13.407227
0.67899823	24.487717	1.0345423	13.457031
0.68056285	24.410999	1.0445571	13.506836
0.68287849	24.383221	1.0555046	13.556641
0.68515241	24.317434	1.0652448	13.606445
0.68781376	24.285141	1.0746255	13.65625
0.69005489	24.272625	1.0851145	13.706055
0.69359839	24.233116	1.09735	13.755859
0.69469512	24.11076	1.1078341	13.805664
0.69902539	24.162655	1.1183293	13.855469
0.70049763	24.083313	1.1291679	13.905273
0.70220828	24.014233	1.1387019	13.955078
0.70498586	24.002714	1.1479501	14.004883
0.70786774	24.008865	1.1572531	14.054688
0.70915222	24.003931	1.166598	14.104492
0.71313083	24.038656	1.1758908	14.154297
0.71451068	24.01333	1.1851532	14.204102
0.71821809	24.000046	1.1950912	14.253906
0.72051585	23.96911	1.2044255	14.303711
0.72125793	23.94804	1.2131441	14.353516
0.72607398	23.921623	1.2206085	14.40332
0.72744489	23.94677	1.2297547	14.453125
0.73139369	23.976774	1.2392312	14.50293
0.73199272	23.965195	1.2480005	14.552734
0.73520243	23.927494	1.2571652	14.602539
0.7389307	23.906172	1.2661479	14.652344
0.74030161	23.899292	1.2745134	14.702148
0.74252486	23.813715	1.2837712	14.751953
0.74557662	23.838966	1.2930297	14.801758
0.749138	23.800446	1.3023161	14.851563
0.75037479	23.812721	1.3115654	14.901367
0.75408518	23.824263	1.3203355	14.951172
0.75468719	23.81258	1.3298454	15.000977
0.75915754	23.838013	1.3402182	15.050781
0.76016486	23.760082	1.3488613	15.100586
0.76282322	23.760921	1.3577189	15.150391
0.76656938	23.768248	1.3659965	15.200195
0.76715648	23.777868	1.3739516	15.25
0.77091157	23.811323	1.3828909	15.299805
0.77313483	23.820196	1.3918844	15.349609
0.77550709	23.815742	1.4003	15.399414
0.77706873	23.850409	1.4093256	15.449219
0.78041553	23.849361	1.4179403	15.499023
0.78228712	23.844986	1.4270993	15.548828
0.78496933	23.829466	1.4342966	15.598633
0.78723431	23.804096	1.4427269	15.648438
0.79069138	23.85594	1.4518112	15.698242
0.79344809	23.882648	1.4604068	15.748047
0.79548061	23.839493	1.4679025	15.797852
0.79787374	23.859377	1.4768227	15.847656
0.80018342	23.86392	1.4848346	15.897461
0.80184042	23.862352	1.4926244	15.947266
0.8043915	23.831686	1.5003355	15.99707
0.80713034	23.81147	1.50703	16.046875
0.80949664	23.829176	1.5150336	16.09668
0.81237257	23.765291	1.5225562	16.146484
0.8141309	23.772566	1.5299727	16.196289
0.81833899	23.794548	1.5389006	16.246094
0.81992745	23.756241	1.5452487	16.295898
0.82370639	23.807692	1.5541543	16.345703
0.82607865	23.78216	1.560679	16.395508
0.8284986	23.808638	1.5680345	16.445313
0.83056688	23.802727	1.5747342	16.495117
0.83180666	23.771194	1.5788287	16.544922
0.83524585	23.802399	1.585062	16.594727
0.8381784	23.789164	1.5914251	16.644531
0.84062219	23.775948	1.5973184	16.694336
0.84261298	23.78911	1.6036053	16.744141
0.8461833	23.800411	1.6101234	16.793945
0.84733069	23.801487	1.6153746	16.84375
0.85096955	23.785885	1.6220188	16.893555
0.85273087	23.823652	1.6282394	16.943359
0.85460842	23.805578	1.6350703	16.993164
0.85684061	23.782259	1.6399533	17.042969
0.85913539	23.777468	1.6466107	17.092773
0.86193085	23.833555	1.6532462	17.142578
0.86521208	23.817465	1.6600313	17.192383
0.86687803	23.790171	1.6664131	17.242188
0.86976886	23.751978	1.672053	17.291992
0.87177157	23.723078	1.6777983	17.341797
0.87425113	23.69239	1.6820999	17.391602
0.87679327	23.696535	1.6870115	17.441406
0.87843537	23.658993	1.6913083	17.491211
0.88275969	23.716873	1.6959704	17.541016
0.88551044	23.622332	1.699928	17.59082
0.88759661	23.614542	1.7032621	17.640625
0.88966489	23.626925	1.7071952	17.69043
0.8929342	23.631186	1.711006	17.740234
0.89518726	23.576963	1.7149578	17.790039
0.89753866	23.550671	1.7183092	17.839844
0.90034008	23.591467	1.7231157	17.889648
0.9024322	23.593523	1.7270733	17.939453
0.9050101	23.579069	1.7315027	17.989258
0.9077698	23.5383	1.734641	18.039063
0.91017783	23.524429	1.7383658	18.088867
0.9121865	23.454685	1.7411666	18.138672
0.91407895	23.489367	1.7445908	18.188477
0.916785	23.454962	1.7473757	18.238281
0.91864467	23.457993	1.7503099	18.288086
0.92220008	23.448654	1.7541466	18.337891
0.92510581	23.465487	1.7579966	18.387695
0.92683136	23.430063	1.7620114	18.4375
0.9292841	23.438105	1.7668266	18.487305
0.93134344	23.39114	1.7697407	18.537109
0.93564391	23.423868	1.7738051	18.586914
0.93631446	23.37705	1.7777858	18.636719
0.93961656	23.386749	1.7826256	18.686523
0.94145834	23.37261	1.7861018	18.736328
0.94428658	23.339279	1.7897019	18.786133
0.94578564	23.392702	1.79412	18.835938
0.94925463	23.384905	1.7975043	18.885742
0.95278025	23.409019	1.8026717	18.935547
0.95486343	23.371044	1.8061104	18.985352
0.95715821	23.386478	1.8105756	19.035156
0.959602	23.373175	1.8144261	19.084961
0.96304417	23.389151	1.818803	19.134766
0.96473992	23.352379	1.8240759	19.18457
0.96716881	23.385828	1.8289113	19.234375
0.96907318	23.378437	1.8337559	19.28418
0.97206533	23.35774	1.8381305	19.333984
0.97422302	23.345547	1.8428919	19.383789
0.97747445	23.344303	1.8474219	19.433594
0.98011792	23.302334	1.852456	19.483398
0.9824425	23.330185	1.856688	19.533203
0.98541975	23.343449	1.8616788	19.583008
0.98687708	23.322256	1.8671287	19.632813
0.99056959	23.322504	1.8713266	19.682617
0.99106729	23.331329	1.8755455	19.732422
0.9950161	23.364052	1.8807275	19.782227
0.99820495	23.339708	1.8851509	19.832031
0.9999752	23.330137	1.8891083	19.881836
1.0031074	23.327797	1.8934118	19.931641
1.0053486	23.323437	1.898036	19.981445
1.0064214	23.304173	1.9020875	20.03125
1.0088027	23.331938	1.9058112	20.081055
1.0116309	23.346687	1.9102443	20.130859
1.0136515	23.365364	1.9144475	20.180664
1.0165304	23.41188	1.9190352	20.230469
1.0191232	23.350361	1.9234875	20.280273
1.0218382	23.379818	1.9272648	20.330078
1.0243595	23.327623	1.9312931	20.379883
1.0268033	23.335072	1.9356254	20.429688
1.0289997	23.390648	1.9393487	20.479492
1.0314912	23.341665	1.9436793	20.529297
1.0342121	23.355463	1.9464841	20.579102
1.0364175	23.409241	1.9512199	20.628906
1.0400563	23.407749	1.9556161	20.678711
1.0420978	23.41008	1.959612	20.728516
1.0447264	23.410202	1.9631813	20.77832
1.0460675	23.373505	1.9667122	20.828125
1.0479867	23.374043	1.970062	20.87793
1.0514587	23.390635	1.973536	20.927734
1.0544389	23.390572	1.976905	20.977539
1.0576963	23.403803	1.9801164	21.027344
1.0599524	23.434776	1.9844145	21.077148
1.0618895	23.397844	1.9871358	21.126953
1.063773	23.392252	1.9906604	21.176758
1.0668695	23.427713	1.9938872	21.226563
1.0691255	23.431919	1.9971135	21.276367
1.072979	23.422775	2.000988	21.326172
1.0734469	23.415297	2.0041149	21.375977
1.0756075	23.422331	2.0077055	21.425781
1.078704	23.425697	2.0110853	21.475586
1.081875	23.422163	2.0139706	21.525391
1.083678	23.461102	2.0175033	21.575195
1.0876387	23.459518	2.0203271	21.625
1.0890454	23.391085	2.0221877	21.674805
1.0915667	23.434105	2.0250862	21.724609
1.0949075	23.411152	2.0279913	21.774414
1.0974228	23.418793	2.0301852	21.824219
